Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.mappingcdafhir.json	4445	-	0	0	0	0	1	0	14	68	0	0	0	0	0	0	0	1	0	0	74	77	0	0	0	3	0	1
input/attachments/CSE-MDE_2023.01.xml	24358	66	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	41	84	0	0	0	0	0	1
input/fml/CDAFrMDEToBundle.fml	7746	7	0	0	2	0	0	0	5	30	0	0	0	0	0	0	0	1	0	0	91	62	0	0	0	4	0	0
input/fml/CDAFrToBundle.fml	11480	7	0	0	0	0	0	0	5	26	0	0	0	0	0	0	0	0	0	0	91	78	0	0	0	6	0	1
input/fml/CDAtoFHIRTypes.fml	9762	10	0	0	0	0	0	0	7	33	0	0	0	0	0	0	0	1	0	0	101	120	0	0	0	8	0	0
input/fml/CdaToBundle.fml	24655	21	0	0	0	0	0	0	13	65	0	0	0	0	0	0	0	0	0	0	216	260	0	0	0	14	0	2
input/resources/Bundle-fe569e1f-32d4-4ba4-b5ad-88082bf5470a.json	19447	7	38	0	0	0	0	0	2	1661	0	0	0	0	0	0	0	0	0	0	46	87	0	0	0	0	0	0
input/resources/ConceptMap-cm-oid-specialite-ordinale.json	1231	3	0	0	0	0	0	0	0	1755	0	0	0	0	0	0	0	0	0	0	7	59	0	0	0	1	0	0
input/resources/ConceptMap-cm-v3-administrative-gender.json	1926	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	34	0	0	0	0	0	0
input/resources/ConceptMap-oid2uri-ans.json	777	2	0	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	0	6	209	0	0	0	1	0	0
/fsh-generated/includes/fsh-link-references.md	295	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/fsh-generated/includes/menu.xml	2215	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/data/features.yml	166	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/mapping-mechanisms.md	15972	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/guide-demarrage.md	7963	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/change-log.md	333	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/initiatives-internationales.md	44	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/index.md	5555	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/mapping-cda-fhir.md	45	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/images/termX.png	153775	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0
/input/pagecontent/outils-mapping.md	19175	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/template/config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/template/config/_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/anImage.png	36288	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/images/ci-sis-logo.png	61365	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/temp/pages/_includes/artifacts.xml	5247	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0
